ID,ALIAS - BUSINESS,ASSOCIATES,CLASSIFIED LEVEL,EVIDENCE,INFLUENCES,LOCALITIES,NAKAMOTO INDEX,SCREEN COLOR,TEXT COLOR,Name,Description,Image
1512,Running Man - 再利用可能証明,Young Gun,LEVEL 4,"Oh great, now we're screwed.",Shelling Out: The Origins of Money (Szabo 2002),"Ithaca, USA [I2P]",73,Black,White,CYPHERPUNK FILES #1512,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1512
1513,Bluebird - 短文投稿,The Assassin,LEVEL 1,"My writing is not that great, I'm a much better coder.",Protecting Privacy with Electronic Cash (Finney 1993),"Leiden, NLD [Proxy]",65,Black,White,CYPHERPUNK FILES #1513,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1513
1514,The Exporter - サルサ,The Ox,LEVEL 1,Adding more transactions to the block you're working on does NOT slow do...,On Digital Cash-Like Payment Systems (Nagy 2005),"Sliema, MLT [VPN]",31,Black,White,CYPHERPUNK FILES #1514,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1514
1515,Mr. Right - 訴訟,The Kiwi,LEVEL 3,"Nodes are not going to accept an invalid transaction as payment, and hon...",Scarce Objects (Szabo 2004),"Waterloo, CAN [Proxy]",38,Black,White,CYPHERPUNK FILES #1515,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1515
1516,Haste Maker - データアイランド,The Storm,LEVEL 2,Most of the value comes from the value that others place in it.,The Playdough Protocols (Szabo 2002),"Stanford, USA [Tor]",47,Black,White,CYPHERPUNK FILES #1516,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1516
1517,Soup Man - サーベイランス,Mr. Right,LEVEL 2,Someone with lots of compute power could make more money by generating t...,Steganography No Solution (Finney 1993),"Chicago, USA [VPN]",36,Black,White,CYPHERPUNK FILES #1517,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1517
1518,Mr. Toad - ブートストラップ,Apache Pilot,LEVEL 1,Title: Electronic Cash Without a Trusted Third Party,Hermeneutics: An Introduction to the Interpretation of Tradition (Szabo 1996),"Sliema, MLT [VPN]",33,Black,White,CYPHERPUNK FILES #1518,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1518
1519,Sasquatch - 匿名転送,The Machine,LEVEL 1,"I don't mean to sound like a socialist, I don't care if wealth is concen...",Bit Gold Markets (Szabo 2008),"Zurich, CHE [I2P]",74,Black,White,CYPHERPUNK FILES #1519,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1519
1520,Curtain Call - 侵入研究,Godspeed,LEVEL 2,"It could get started in a narrow niche like reward points, donation toke...",Protecting Privacy with Electronic Cash (Finney 1993),"Princeton, USA [I2P]",51,Black,White,CYPHERPUNK FILES #1520,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1520
1521,The Godfather - デジタルキャッシュ,Space Shuttle,LEVEL 4,"BTW, I tried to buy bitcoin.com before I started but there was no chance...",The Geodesic Market (Hettinga 1998),"Santa Cruz, USA [VPN]",64,Black,White,CYPHERPUNK FILES #1521,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1521
1522,The Navigator - ブラウザ,Shears,LEVEL 4,It might make sense just to get some in case it catches on.,Formalizing and Securing Relationships on Public Networks (Szabo 1997),"Redmond, USA [I2P]",57,Black,White,CYPHERPUNK FILES #1522,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1522
1523,Mayhem - 暗号無政府,Van Helsing,LEVEL 3,It's very attractive to the libertarian viewpoint if we can explain it p...,A Declaration of the Independence of Cyberspace (Barlow 1996),"Langley, USA [Tor]",39,Black,White,CYPHERPUNK FILES #1523,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1523
1524,Bluebird - 短文投稿,The Machine,LEVEL 1,"It could get started in a narrow niche like reward points, donation toke...",Delegation and Agreement Based Certification Policy (Szabo 1997),"Waterloo, CAN [Proxy]",61,Black,White,CYPHERPUNK FILES #1524,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1524
1525,The Piercer - 決済システム,The Diffuser,LEVEL 3,I'm sure everyone who's written an internet app like a browser or p2p ap...,Patterns of Integrity: Separation of Duties (Szabo 2004),"Temple City, USA [Tor]",36,Black,White,CYPHERPUNK FILES #1525,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1525
1526,The Machine - パラジウム,Van Helsing,LEVEL 2,Hal sort of alluded to the possibility that it could be seen as a long-o...,Distributing Authorities and Verifying Their Claims (Szabo 1997),"Waterloo, CAN [Proxy]",58,Black,White,CYPHERPUNK FILES #1526,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1526
1527,Mr. X - 電気自動車,The Exporter,LEVEL 2,The timechain is a tree shaped structure starting with the genesis block...,The Ricardian Contract (Grigg 2004),"Eindhoven, NLD [VPN]",33,Black,White,CYPHERPUNK FILES #1527,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1527
1528,The Kiwi - 監視研究,The Good Man,LEVEL 1,I'm losing my mind there are so many things that need to be done.,Bit Gold (Szabo 2005),"Palo Alto, USA [Proxy]",41,Black,White,CYPHERPUNK FILES #1528,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1528
1529,Lucky - データヘイブン,Next of Kin,LEVEL 5,A rational market price for something that is expected to increase in va...,The Playdough Protocols (Szabo 2002),"Santa Cruz, USA [VPN]",56,Black,White,CYPHERPUNK FILES #1529,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1529
1530,The Belgian - ブロック暗号,Molten Lava,LEVEL 1,The main thing holding online currencies back is the lack of an easy way...,The Idea of Smart Contracts (Szabo 1997),"Redmond, USA [I2P]",31,Black,White,CYPHERPUNK FILES #1530,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1530
1531,The Ram - 豪雨,Q,LEVEL 3,I'll have to work on figuring out what's getting hung up. I may just hav...,A Formal Language for Analyzing Contracts (Szabo 2002),"Haasrode, BEL [Tor]",66,Black,White,CYPHERPUNK FILES #1531,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1531
1532,The Piercer - 決済システム,M,LEVEL 1,"In the absence of a market to establish the price, NewLibertyStandard's ...",Protecting Privacy with Electronic Cash (Finney 1993),"Sliema, MLT [VPN]",43,Black,White,CYPHERPUNK FILES #1532,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1532
1533,Mr. Red - 陰謀,Rex,LEVEL 2,Messages should not be recorded in the block chain.,Protecting Privacy with Electronic Cash (Finney 1993),"Arlington, USA [I2P]",72,Black,White,CYPHERPUNK FILES #1533,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1533
1534,The Repeater - タイムスタンプ,Next of Kin,LEVEL 3,You could say coins are issued by the majority.,Smart Liens (Szabo 1994),"Berkeley, USA [Tor]",65,Black,White,CYPHERPUNK FILES #1534,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1534
1535,Mr. Z - メール暗号化,The Boar,LEVEL 4,I suppose if the law applies to a bank or financial institution or other...,The Cathedral and the Bazaar (Raymond 2000),"Santa Barbara, USA [Proxy]",28,Black,White,CYPHERPUNK FILES #1535,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1535
1536,Money - 作業証明,Mr. Toad,LEVEL 1,"I'm not going to be much help right now either, pretty busy with work, a...",Hashcash - A Denial of Service Counter-Measure (Back 2002),"Arcadia, USA [Relay]",26,Black,White,CYPHERPUNK FILES #1536,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1536
1537,Bluebird - 短文投稿,ATAT,LEVEL 1,"I wasn't aware of the b-money page, but my ideas start from exactly that...",Smart Contracts (Szabo 1994),"East Patchogue, USA [Proxy]",75,Black,White,CYPHERPUNK FILES #1537,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1537
1538,Sakou - 九州,The Heater,LEVEL 1,It is strictly necessary that the longest chain is always considered the...,"Man, Economy, and State, with Power and Market (Rothbard 1962)","Osaka, JPN [I2P]",64,Black,White,CYPHERPUNK FILES #1538,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1538
1539,Mochi - 数学,The Haberdasher,LEVEL 1,"Sorry, I've been so busy lately I've been skimming messages and I still ...","Secrecy, Authentication, and Public Key Systems (Merkle 1979)","Leuven, BEL [Relay]",58,Black,White,CYPHERPUNK FILES #1539,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1539
1540,Soup Man - サーベイランス,Money,LEVEL 1,I like to keep code compact so you can see more code on the screen at once.,"The Byzantine Generals Problem (Lamport, Shostak, and Pease 1982)","Ithaca, USA [I2P]",34,Black,White,CYPHERPUNK FILES #1540,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1540
1541,Bluebird - 短文投稿,The Cook,LEVEL 2,What is needed is an electronic payment system based on cryptographic pr...,Hermeneutics: An Introduction to the Interpretation of Tradition (Szabo 1996),"Princeton, USA [I2P]",61,Black,White,CYPHERPUNK FILES #1541,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1541
1542,The Brother - 豪雨,The Cook,LEVEL 1,Bitcoin is an implementation of Wei Dai's b-money proposal...and Nick Sz...,"Capability-based Financial Instruments (Morningstar, Frantz, and Miller 2000)","Waterloo, CAN [Proxy]",33,Black,White,CYPHERPUNK FILES #1542,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1542
1543,Space Shuttle - 証明書販売,The Parakeet,LEVEL 3,"Imagine if gold turned to lead when stolen.  If the thief gives it back,...",What Has Government Done to Our Money? (Rothbard 1963),"Redmond, USA [I2P]",46,Black,White,CYPHERPUNK FILES #1543,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1543
1544,The Good Man - 安全な削除,Next of Kin,LEVEL 1,Alert messages are signed with a private key that only I have.,Scarce Objects (Szabo 2004),"Bletchley Park, GBR [VPN]",54,Black,White,CYPHERPUNK FILES #1544,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1544
1545,The Don - 電子商取引,Mojo Man,LEVEL 1,Each computer's chance of finding a hash collision is linearly proportio...,Crypto Glossary (Hughes and May 1992),"Princeton, USA [I2P]",31,Black,White,CYPHERPUNK FILES #1545,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1545
1546,Old Man River - 暗号化接続,The Haberdasher,LEVEL 3,"If we see a weakness in SHA256 coming gradually, we can transition to a ...",Why Remailers I (Finney 1992),"The Hague, NLD [Tor]",28,Black,White,CYPHERPUNK FILES #1546,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1546
1547,Mr. Right - 訴訟,Apache Pilot,LEVEL 1,"If Bitcoin catches on in a big way, these are things we'll want to explo...",Wet Code and Dry (Szabo 2006),"The Hague, NLD [Tor]",31,Black,White,CYPHERPUNK FILES #1547,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1547
1548,Mayhem - 暗号無政府,ATAT,LEVEL 2,we will need to use a proof-of-work system similar to Adam Back's Hashca...,A Declaration of the Independence of Cyberspace (Barlow 1996),"Exeter, GBR [Tor]",52,Black,White,CYPHERPUNK FILES #1548,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1548
1549,The Godfather - デジタルキャッシュ,Young Gun,LEVEL 2,I believe I've worked through all those little details over the last yea...,"Rights, Remedies, and Security Models (Szabo 2004)","Santa Cruz, USA [VPN]",66,Black,White,CYPHERPUNK FILES #1549,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1549
1550,The Caller - 暗号電話,The Gardener,LEVEL 1,"They concede that something is flammable, but argue that it'll never bur...",b-money (Dai 1998),"Sydney, AUS [I2P]",57,Black,White,CYPHERPUNK FILES #1550,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1550
1551,The Dutchman - 符号理論,Curtain Call,LEVEL 2,"Like cash, you don't keep your entire net worth in your pocket, just wal...",The Geodesic Market (Hettinga 1998),"Louvain-la-Neuve, BEL [Proxy]",58,Black,White,CYPHERPUNK FILES #1551,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1551
1552,Charlie Bravo - 暗号特許,The Chef,LEVEL 2,I don't know what you're talking about accepting easier difficulties.,Bit Gold Markets (Szabo 2008),"Cheltenham, GBR [Proxy]",28,Black,White,CYPHERPUNK FILES #1552,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1552
1553,The Hawk - 零知識証明,The Assassin,LEVEL 1,We can try to use words to help the situation until code gets there.,The Idea of Smart Contracts (Szabo 1997),"Cheltenham, GBR [Proxy]",32,Black,Orange,CYPHERPUNK FILES #1553,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1553
1554,Mr. Red - 陰謀,The Navigator,LEVEL 1,Messages should not be recorded in the block chain.,"The Byzantine Generals Problem (Lamport, Shostak, and Pease 1982)","Bluffdale, USA [VPN]",61,Black,White,CYPHERPUNK FILES #1554,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1554
1555,The Kazoo - ハードウェア暗号,The Hawk,LEVEL 3,"If a majority of CPU power is controlled by honest nodes, the honest cha...",State and Terrorist Conspiracies & Conspiracy as Governance (Assange 2006),"Melbourne, AUS [Tor]",34,Black,White,CYPHERPUNK FILES #1555,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1555
1556,The Hawk - 零知識証明,Shears,LEVEL 3,we propose a solution to the double-spending problem...,Contracts in Cyberspace (Friedman 2000),"Stanford, USA [Tor]",27,Black,White,CYPHERPUNK FILES #1556,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1556
1557,Mr. Anderson - 蛇口,Young Gun,LEVEL 4,A timestamp server works by taking a hash of a block of items to be time...,For-Pay Remailers (Finney 1994),"East Patchogue, USA [Proxy]",61,Black,White,CYPHERPUNK FILES #1557,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1557
1558,Mt. Mox - 消える会話,Dashboard,LEVEL 3,These problems are kind of screwing up the network and will get worse as...,The Geodesic Market (Hettinga 1998),"London, GBR [VPN]",57,Black,White,CYPHERPUNK FILES #1558,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1558
1559,The Carrier - フロッピーディスク,The Kazoo,LEVEL 1,I guess they're so used to being anti-fiat-money that anything short of ...,Politics vs Technology (Finney 1994),"Redmond, USA [I2P]",45,Black,White,CYPHERPUNK FILES #1559,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1559
1560,Mr. Anderson - 蛇口,The Kiwi,LEVEL 1,"When someone tries to buy all the world's supply of a scarce asset, the ...",Confidential Auditing (Szabo 1998),"Tokyo, JPN [VPN]",69,Black,White,CYPHERPUNK FILES #1560,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1560
1561,The Scribe - 暗号郵便リスト,Bluebird,LEVEL 2,Maybe you're the first person to ever run it on Vista :),Formalizing and Securing Relationships on Public Networks (Szabo 1997),"Zurich, CHE [I2P]",46,Black,White,CYPHERPUNK FILES #1561,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1561
1562,Agent Zero - 三角形,The Exporter,LEVEL 2,"Like cash, you don't keep your entire net worth in your pocket, just wal...",Blind Signatures for Untraceable Payments (Chaum 1982),"Berlin, DEU [Proxy]",51,Black,White,CYPHERPUNK FILES #1562,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1562
1563,Dashboard - オーシャン,Goldszmith,LEVEL 2,That was the Achilles heel of Chaumian systems; when the central company...,Blind Signatures for Untraceable Payments (Chaum 1982),"Redmond, USA [I2P]",27,Black,White,CYPHERPUNK FILES #1563,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1563
1564,The Hawk - 零知識証明,Sandstorm,LEVEL 1,"Unfortunately, I can't receive incoming connections from where I am, whi...",Trusted Third Parties are Security Holes (Szabo 2001),"Melbourne, AUS [Tor]",29,Black,White,CYPHERPUNK FILES #1564,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1564
1565,The Gardener - ソフトウェア無線,The Godfather,LEVEL 2,There are donors I can tap if we come up with something that needs fundi...,Secure Names for Bit-Strings (Stornetta and Haber 1997),"Berlin, DEU [Proxy]",53,Black,White,CYPHERPUNK FILES #1565,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1565
1566,The Ox - 暗号特許,Curtain Call,LEVEL 1,Lost coins only make everyone else's coins worth slightly more.  Think o...,The Geodesic Market (Hettinga 1998),"Bletchley Park, GBR [VPN]",51,Black,White,CYPHERPUNK FILES #1566,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1566
1567,Jaws - 数理システム理論,The Face,LEVEL 3,"I guess I made the wrong decision, at least for this early version.",Why I Wrote PGP (Zimmermann 1991),"Bochum, DEU [Relay]",48,Black,White,CYPHERPUNK FILES #1567,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1567
1568,Jaws - 数理システム理論,Captain,LEVEL 2,I'm sure everyone who's written an internet app like a browser or p2p ap...,Against Intellectual Monopoly (Boldrin and Levine 2008),"Sydney, AUS [I2P]",58,Black,White,CYPHERPUNK FILES #1568,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1568
1569,Mr. CashBack - ストリーム,ATAT,LEVEL 3,I was trying to implement an eBay style marketplace built in to the client.,The Beauty of ECash (Finney 1994),"Waterloo, CAN [Proxy]",64,Black,White,CYPHERPUNK FILES #1569,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1569
1570,Sandstorm - スマートライフル,The Heater,LEVEL 3,"I'm kind of surprised there was a crash, I've tested heavily and haven't...",Online Cash Checks (Chaum 1989),"Delft, NLD [Relay]",36,Black,White,CYPHERPUNK FILES #1570,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1570
1571,The Swan - 暗号郵便,Jaws,LEVEL 4,"Nodes collect new transactions into a block, hash them into a hash tree.",Protecting Privacy with Electronic Cash (Finney 1993),"Palo Alto, USA [Proxy]",39,Black,White,CYPHERPUNK FILES #1571,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1571
1572,Van Helsing - リメーラー,The Piercer,LEVEL 1,Thanks for the pointers you gave me to Wei Dai's b-money paper and others.,The Geodesic Market (Hettinga 1998),"Cambridge, USA [Tor]",54,Black,White,CYPHERPUNK FILES #1572,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1572
1573,Dashboard - オーシャン,Mr. CashBack,LEVEL 1,This is what makes me think the people objecting don't know what they're...,A Formal Language for Analyzing Contracts (Szabo 2002),"Zurich, CHE [I2P]",32,Black,White,CYPHERPUNK FILES #1573,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1573
1574,The Soldier - ルートキット,The Piercer,LEVEL 2,Lost coins only make everyone else's coins worth slightly more.  Think o...,The Mystery of Banking (Rothbard 1983),"Santa Cruz, USA [VPN]",27,Black,White,CYPHERPUNK FILES #1574,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1574
1575,Thommy Boy - 安全,Stic Man,LEVEL 1,Nodes always consider the longest chain to be the correct one and will k...,Blind Signatures for Untraceable Payments (Chaum 1982),"Sliema, MLT [VPN]",29,Black,White,CYPHERPUNK FILES #1575,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1575
1576,The Kiwi - 監視研究,The Hawk,LEVEL 3,"circulation will be 21,000,000... distributed to network nodes when they...",Principles of Economics (Menger 1871),"Bletchley Park, GBR [VPN]",57,Black,White,CYPHERPUNK FILES #1576,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1576
1577,The Boar - 匿名資格情報,The Soldier,LEVEL 1,Hal isn't currently actively involved.,The Idea of Smart Contracts (Szabo 1997),"Bluffdale, USA [VPN]",34,Black,White,CYPHERPUNK FILES #1577,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1577
1578,Mojo Man - ファイル共有,The Invisible Man,LEVEL 3,I think it's essential for a program of this nature to be open source.,Financial Cryptography in 7 Layers (Grigg 2000),"The Hague, NLD [Tor]",69,Black,White,CYPHERPUNK FILES #1578,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1578
1579,Applesauce - 玉葱,The Repeater,LEVEL 2,"WRT the alert system, who cares?",Delegation and Agreement Based Certification Policy (Szabo 1997),"Waterloo, CAN [Proxy]",32,Black,White,CYPHERPUNK FILES #1579,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1579
1580,The Earner - 灯台,Liberty Bell,LEVEL 1,A timestamp server works by taking a hash of a block of items to be time...,Measuring Value (Szabo 2002),"Nakano, JPN [I2P]",36,Black,White,CYPHERPUNK FILES #1580,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1580
1581,Shears - カナリア,Max Power,LEVEL 1,unconfirmed transactions are very much second class citizens.,State and Terrorist Conspiracies & Conspiracy as Governance (Assange 2006),"Amsterdam, NLD [Tor]",37,Black,White,CYPHERPUNK FILES #1581,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1581
1582,Lucky - データヘイブン,Bluebird,LEVEL 2,"Most programs are a bunch of memory access, comparisons and branching, t...","An Introduction to Probability Theory and Its Applications, Vol. I (Feller 1957)","Santa Barbara, USA [Proxy]",25,Black,White,CYPHERPUNK FILES #1582,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1582
1583,The Heater - デジタルベアラー,V.I.P.,LEVEL 1,It looks like the bad chain was on block 74678 recently.  Can't wait to ...,"Cyberspace, Crypto Anarchy, and Pushing Limits (May 1994)","Haasrode, BEL [Tor]",34,Black,White,CYPHERPUNK FILES #1583,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1583
1584,The Kazoo - ハードウェア暗号,Molten Lava,LEVEL 1,It doesn't care because there's no way to lie to it. Either you tell it ...,An Austrian Perspective on the History of Economic Thought (Rothbard 1995),"Bluffdale, USA [VPN]",42,Black,White,CYPHERPUNK FILES #1584,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1584
1585,Next of Kin - サイバー法,Goldszmith,LEVEL 1,"With e-currency based on cryptographic proof, without the need to trust ...",The Beauty of ECash (Finney 1994),"Sandy Ground, AIA [Relay]",38,Black,White,CYPHERPUNK FILES #1585,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1585
1586,The Piercer - 決済システム,Soup Man,LEVEL 3,"I've always hated projects with a lot of big dependencies, but there's n...",The GNU Manifesto (Stallman 1985),"Tokyo, JPN [VPN]",39,Black,White,CYPHERPUNK FILES #1586,Who is Satoshi Nakamoto? These are the files.,ipfs://QmbcojT3L38PYGT82mbg323q3UFscV8M9pyj45Bi9E4Co6/1586
